interval_index,interval_start_time,mean_nni,sdnn,sdsd,nni_50,pnni_50,nni_20,pnni_20,rmssd,median_nni,range_nni,cvsd,cvnni,mean_hr,max_hr,min_hr,std_hr,lf,hf,vlf,lf_hf_ratio,csi,cvi,Modified_csi,sampen,sd1,sd2,ratio_sd2_sd1,timestamp,filename,label
1.0,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-10-09 09:02:21.492,output/feats-v0_6/feats_00003281_s001_t001.csv,0
2.0,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-10-09 09:02:22.492,output/feats-v0_6/feats_00003281_s001_t001.csv,0
3.0,3000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-10-09 09:02:23.492,output/feats-v0_6/feats_00003281_s001_t001.csv,0
4.0,4000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-10-09 09:02:24.492,output/feats-v0_6/feats_00003281_s001_t001.csv,0
5.0,5000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-10-09 09:02:25.492,output/feats-v0_6/feats_00003281_s001_t001.csv,0
6.0,6000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-10-09 09:02:26.492,output/feats-v0_6/feats_00003281_s001_t001.csv,0
7.0,7000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-10-09 09:02:27.492,output/feats-v0_6/feats_00003281_s001_t001.csv,0
8.0,8000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-10-09 09:02:28.492,output/feats-v0_6/feats_00003281_s001_t001.csv,0
9.0,9000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-10-09 09:02:29.492,output/feats-v0_6/feats_00003281_s001_t001.csv,0
10.0,10000.0,1500.0,28.284271247461906,0.0,0.0,0.0,1.0,100.0,40.0,1500.0,40.0,0.02666666666666667,0.018856180831641263,40.007112375533424,40.54054054054054,39.473684210526315,0.5334281650071127,,,,,,,,,,,,2006-10-09 09:02:30.492,output/feats-v0_6/feats_00003281_s001_t001.csv,0
11.0,11000.0,1500.0,28.284271247461906,0.0,0.0,0.0,1.0,100.0,40.0,1500.0,40.0,0.02666666666666667,0.018856180831641263,40.007112375533424,40.54054054054054,39.473684210526315,0.5334281650071127,,,,,,,,,,,,2006-10-09 09:02:31.492,output/feats-v0_6/feats_00003281_s001_t001.csv,0
12.0,12000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-10-09 09:02:32.492,output/feats-v0_6/feats_00003281_s001_t001.csv,0
13.0,13000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-10-09 09:02:33.492,output/feats-v0_6/feats_00003281_s001_t001.csv,0
14.0,14000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-10-09 09:02:34.492,output/feats-v0_6/feats_00003281_s001_t001.csv,0
15.0,15000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-10-09 09:02:35.492,output/feats-v0_6/feats_00003281_s001_t001.csv,0
16.0,16000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-10-09 09:02:36.492,output/feats-v0_6/feats_00003281_s001_t001.csv,0
17.0,17000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-10-09 09:02:37.492,output/feats-v0_6/feats_00003281_s001_t001.csv,0
18.0,18000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-10-09 09:02:38.492,output/feats-v0_6/feats_00003281_s001_t001.csv,0
19.0,19000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-10-09 09:02:39.492,output/feats-v0_6/feats_00003281_s001_t001.csv,0
20.0,20000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-10-09 09:02:40.492,output/feats-v0_6/feats_00003281_s001_t001.csv,0
21.0,21000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-10-09 09:02:41.492,output/feats-v0_6/feats_00003281_s001_t001.csv,0
22.0,22000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-10-09 09:02:42.492,output/feats-v0_6/feats_00003281_s001_t001.csv,0
23.0,23000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-10-09 09:02:43.492,output/feats-v0_6/feats_00003281_s001_t001.csv,0
24.0,24000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-10-09 09:02:44.492,output/feats-v0_6/feats_00003281_s001_t001.csv,0
25.0,25000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-10-09 09:02:45.492,output/feats-v0_6/feats_00003281_s001_t001.csv,0
26.0,26000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-10-09 09:02:46.492,output/feats-v0_6/feats_00003281_s001_t001.csv,0
27.0,27000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-10-09 09:02:47.492,output/feats-v0_6/feats_00003281_s001_t001.csv,0
28.0,28000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-10-09 09:02:48.492,output/feats-v0_6/feats_00003281_s001_t001.csv,0
29.0,29000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-10-09 09:02:49.492,output/feats-v0_6/feats_00003281_s001_t001.csv,0
30.0,30000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-10-09 09:02:50.492,output/feats-v0_6/feats_00003281_s001_t001.csv,0
31.0,31000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-10-09 09:02:51.492,output/feats-v0_6/feats_00003281_s001_t001.csv,0
32.0,32000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-10-09 09:02:52.492,output/feats-v0_6/feats_00003281_s001_t001.csv,0
33.0,33000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-10-09 09:02:53.492,output/feats-v0_6/feats_00003281_s001_t001.csv,0
34.0,34000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-10-09 09:02:54.492,output/feats-v0_6/feats_00003281_s001_t001.csv,0
35.0,35000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-10-09 09:02:55.492,output/feats-v0_6/feats_00003281_s001_t001.csv,0
36.0,36000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-10-09 09:02:56.492,output/feats-v0_6/feats_00003281_s001_t001.csv,0
37.0,37000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-10-09 09:02:57.492,output/feats-v0_6/feats_00003281_s001_t001.csv,0
38.0,38000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-10-09 09:02:58.492,output/feats-v0_6/feats_00003281_s001_t001.csv,0
39.0,39000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-10-09 09:02:59.492,output/feats-v0_6/feats_00003281_s001_t001.csv,0
40.0,40000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-10-09 09:03:00.492,output/feats-v0_6/feats_00003281_s001_t001.csv,0
41.0,41000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-10-09 09:03:01.492,output/feats-v0_6/feats_00003281_s001_t001.csv,0
42.0,42000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-10-09 09:03:02.492,output/feats-v0_6/feats_00003281_s001_t001.csv,0
43.0,43000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-10-09 09:03:03.492,output/feats-v0_6/feats_00003281_s001_t001.csv,0
44.0,44000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-10-09 09:03:04.492,output/feats-v0_6/feats_00003281_s001_t001.csv,0
45.0,45000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-10-09 09:03:05.492,output/feats-v0_6/feats_00003281_s001_t001.csv,0
